"name","label","region","district","facility_code","level","bemonc","ncu","latitude","longitude"
"Thowera Health Centre","Thowera Health Centre","Southern","Thyolo","TH311916","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","-16.032032","35.3040387"
"Thekerani Rural Hospital","Thekerani Rural Hospital","Southern","Thyolo","3119","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","-16.3214576","35.2072577"
"Kalikumbi Health Centre","Kalikumbi Health Centre","Northern","Mzimba South","DA0512","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","-12.2041939","33.33381"
"Kukalanga Health Centre","Kukalanga Health Centre","Southern","Machinga","DE030228","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","-11.699486","33.5870361"
"Bvumbwe Health Centre","Bvumbwe Health Centre","Southern","Thyolo","3102","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","-15.9286083","35.0777583"
"Malamulo Mission Hospital","Malamulo Mission Hospital","Southern","Thyolo","3111","Level 3 (CEmONC Facilities)","CEmONC","Yes","-16.1707105","35.1105524"
"Mzimba District Hospital","Mzimba District Hospital","Northern","Mzimba South","MZ0532","Level 3 (CEmONC Facilities)","CEmONC","Yes","-11.8976762","33.5860988"
"Raiply Health Centre","Raiply Health Centre","Northern","Mzimba South","MZ0530","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","-11.8976709","33.5853433"
"Raiply Clinic","Raiply Clinic","Northern","Mzimba South","MZ033533","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","-11.8977272","33.585851"
"Chamama Community Hospital","Chamama Community Hospital","Northern","Mzimba South","DE030228","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","-11.897789","33.5858442"
"Mzimba DHO District Hospital","Mzimba DHO District Hospital","Northern","Mzimba South","MZ 532","Level 3 (CEmONC Facilities)","CEmONC","Yes","-11.8976706","33.5853434"
"Bulala Health Centre","Bulala Health Centre","Northern","Mzimba South","522","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","-11.8976865","33.5860627"
"Mapanga Health Centre","Mapanga Health Centre","Southern","Thyolo","3125","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","-16.2759825","35.1967701"
"Thomas Health Centre","Thomas Health Centre","Southern","Thyolo","3120","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","-16.0298364","34.9789239"
"Kadango Health Centre","Kadango Health Centre","Southern","Mangochi","2535","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","-14.0621867","35.1863117"
"Phalula Health Centre","Phalula Health Centre","Southern","Balaka","3606","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","-15.2255932","34.8931701"
