"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Bolero Rural Hospital","Bolero Rural Hospital","Northern","Rumphi","TA Chikulamayembe","RU140107","2","BEmONC","No","-10.9786037","33.7434623"
"Chisimuka Health Centre","Chisimuka Health Centre","Northern","Rumphi","TA Katumbi","RU140271","2","Non-EmONC","No","-10.7691133","33.5573567"
"Chitimba Health Centre","Chitimba Health Centre","Northern","Rumphi","STA Chiwiriwiri","RU140292","2","BEmONC","No","-10.5980588","34.1702039"
"David Gordon Memorial Mission Hospital","David Gordon Memorial Mission Hospital","Northern","Rumphi","TA Mwalweni","RU140702","3","CEmONC","Yes","-10.6036439","34.110894"
"Jalawe Health Centre","Jalawe Health Centre","Northern","Rumphi","TA Njikula","RU140470","2","BEmONC","No","-10.7298567","34.16164"
"Kamphenda Health Centre","Kamphenda Health Centre","Northern","Rumphi","TA Chikulamayembe","RU141087","2","Non-EmONC","No","-11.0391326","33.5841657"
"Kanyerere Health Centre","Kanyerere Health Centre","Northern","Rumphi","TA Chikulamayembe","RU141692","2","Non-EmONC","No","-10.9475386","33.7592024"
"Katowo Rural Hospital","Katowo Rural Hospital","Northern","Rumphi","TA Katumbi","RU140600","2","BEmONC","No","-10.8127146","33.5223755"
"Lura Health Centre","Lura Health Centre","Northern","Rumphi","TA Kachulu","RU140731","2","BEmONC","No","-10.726409","34.0440884"
"Luwuchi Health Centre","Luwuchi Health Centre","Northern","Rumphi","STA Chimphamba","RU140742","2","BEmONC","No","-10.68346","34.1933483"
"Mhuju Rural Hospital","Mhuju Rural Hospital","Northern","Rumphi","TA Mwahenga","RU140914","2","BEmONC","No","-10.8668828","33.9975547"
"Mlowe Health Centre","Mlowe Health Centre","Northern","Rumphi","TA Mwamlowe","RU140972","2","BEmONC","No","-10.764342","34.1948526"
"Mphompha Health Centre","Mphompha Health Centre","Northern","Rumphi","TA Mwankhunikira","RU 141007","2","BEmONC","No","-11.0065612","34.0732513"
"Mwazisi Health Centre","Mwazisi Health Centre","Northern","Rumphi","STA Mchinanguwo","RU141087","2","BEmONC","No","-10.9438453","33.5789151"
"Mzokoto Health Centre","Mzokoto Health Centre","Northern","Rumphi","TA Mwankhunikira","RU141097","2","BEmONC","No","-10.9078374","34.0271941"
"Ng'onga Health Centre","Ng'onga Health Centre","Northern","Rumphi","TA Chisovya","RU141165","2","BEmONC","No","-10.9390144","33.9434029"
"Nthenje Health Centre","Nthenje Health Centre","Northern","Rumphi","TA Mwankhunikira","RU141229","2","Non-EmONC","No","-10.9179004","33.9877635"
"Rumphi District Hospital","Rumphi District Hospital","Northern","Rumphi","TA Chikulamayembe","RU141302","3","CEmONC","Yes","-11.020034","33.8541789"
"St Patricks Health Centre","St Patricks Health Centre","Northern","Rumphi","TA Chikulamayembe","RU 141377","2","BEmONC","No","-11.023718","33.8734972"
"Tcharo Health Centre","Tcharo Health Centre","Northern","Rumphi","TA Chapinduka","RU141395","2","BEmONC","No","-10.9622567","34.2229383"
"Zunga Health Centre","Zunga Health Centre","Northern","Rumphi","TA Mwamlowe","RU141514","2","Non-EmONC","No","-10.8462013","34.2121489"
"Balaka District Hospital","Balaka District Hospital","Southern","Balaka","STA Kapalamula","BK3601","3","CEmONC","Yes","-14.9845159","34.9502438"
