"name","label","region","district","ta"
"MC011397","Tembwe Health Centre","Central","Mchinji","TA Mlonyeni"
"MC011635","Tongozara Health Post","Central","Mchinji","TA Mkanda"
"MC011711","Mzama Health Post","Central","Mchinji","TA Mduwa"
"MC011864","Mchinji Blm Clinic","Central","Mchinji","TA Zulu"
"MC011865","Mchinji Wellness Centre","Central","Mchinji","TA Mlonyeni"
"MC011907","Nafuse Health Centre","Central","Mchinji","TA Kawere"
"MC011909","Mphelero Health Centre","Central","Mchinji","STA Nyoka"
"MC01614","Kazyozyo Health Centre","Central","Mchinji","TA Kazyozyo"
"MCO11206","Gumulira Health Post","Central","Mchinji","TA Mlonyeni"
"NK100019","Alinafe Community Hospital","Central","Nkhotakota","TA Mwadzama"
"NK100073","Benga Health Centre","Central","Nkhotakota","TA Mwadzama"
"NK100114","Bua Health Centre","Central","Nkhotakota","TA Mphonde"
"NK100171","Chididi Health Centre","Central","Nkhotakota","STA Kalimanjira"
"NK100360","Dwambazi Rural Hospital","Central","Nkhotakota","TA Kamphambale"
"NK100362","Dwangwa Cane Growers Limited","Central","Nkhotakota","TA Kanyenda"
"NK100562","Kapiri Health Centre","Central","Nkhotakota","TA Mwadzama"
"NK100583","Kasitu Health Centre","Central","Nkhotakota","TA Kafuzila"
"NK100597","Katimbira Health Centre","Central","Nkhotakota","TA Kanyenda"
"NK100704","Liwaladzi Health Centre","Central","Nkhotakota","TA Kanyenda"
"NK100728","Lupachi Health Centre","Central","Nkhotakota","STA Katumbi"
"NK100819","Malowa Health Centre","Central","Nkhotakota","TA Nkhanga"
"NK100991","Mpamantha Health Centre","Central","Nkhotakota","STA Kalimanjira"
"NK101018","Msenjere Health Centre","Central","Nkhotakota","TA Kanyenda"
"NK101038","Mtosa Health Centre","Central","Nkhotakota","TA Mwadzama"
"NK101077","Mwansambo Health Centre","Central","Nkhotakota","TA Mwansambo"
"NK101169","Ngala Health Centre","Central","Nkhotakota","TA Kanyenda"
"NK101204","Nkhunga Health Centre","Central","Nkhotakota","TA Kanyenda"
"NK101360","St Anne's Mission Hospital","Central","Nkhotakota","TA Malengachanzi"
"NK101492","World Medical Fund Clinic","Central","Nkhotakota","TA Malengachanzi"
"NK101534","Matiki Private Health Centre","Central","Nkhotakota","TA Kanyenda"
"NK101536","Kaongozi Health Centre","Central","Nkhotakota","TA Kanyenda"
"NK101784","Nkhotakota District Hospital","Central","Nkhotakota","TA Malengachanzi"
"NK101888","Shukurani Community Clinic","Central","Nkhotakota","TA Mwadzama"
"NT120065","Bayani Health Post","Central","Ntcheu","TA Mpando"
"NT120080","Bilila Health Centre","Central","Ntcheu","TA Makwangwala"
"NT120081","Biliwiri Health Centre","Central","Ntcheu","TA Njolomole"
"NT120123","Bwanje Health Centre","Central","Ntcheu","TA Goodson Ganya"
