"name","label","region","district"
"St Kizito Mission Hospital","St Kizito Mission Hospital","Northern","Mzimba South"
"Vibangalala Dispensary","Vibangalala Dispensary","Northern","Mzimba South"
"Tester Clinic","Tester Clinic","Northern","Nkhata Bay"
"Chamama Community Hospital","Chamama Community Hospital","Northern","Rumphi"
"Amidu Health Centre","Amidu Health Centre","Southern","Balaka"
"Balakadho District Hospital","Balakadho District Hospital","Southern","Balaka"
"Balakaopdtest District Hospital","Balakaopdtest District Hospital","Southern","Balaka"
"Balakatest District Hospital","Balakatest District Hospital","Southern","Balaka"
"Chendausiku Health Centre","Chendausiku Health Centre","Southern","Balaka"
"Chiendausiku Health Centre","Chiendausiku Health Centre","Southern","Balaka"
"Chiendausikutest Health Centre","Chiendausikutest Health Centre","Southern","Balaka"
"Chimatiro Health Centre","Chimatiro Health Centre","Southern","Balaka"
"Chimatirotest Health Centre","Chimatirotest Health Centre","Southern","Balaka"
"Chimatirotest Health Post","Chimatirotest Health Post","Southern","Balaka"
"Chiyendausiku Health Centre","Chiyendausiku Health Centre","Southern","Balaka"
"Chiyendausikutest Health Centre","Chiyendausikutest Health Centre","Southern","Balaka"
"Comfort Community Hospital","Comfort Community Hospital","Southern","Balaka"
"Comfortest Community Hospital","Comfortest Community Hospital","Southern","Balaka"
"Comfortt Community Hospital","Comfortt Community Hospital","Southern","Balaka"
"Comforttest Community Hospital","Comforttest Community Hospital","Southern","Balaka"
"Dziwe Health Post","Dziwe Health Post","Southern","Balaka"
"Kalembo Health Centre","Kalembo Health Centre","Southern","Balaka"
"Kankao Health Centre","Kankao Health Centre","Southern","Balaka"
"Kankaotest Health Centre","Kankaotest Health Centre","Southern","Balaka"
"Khwisa Health Centre","Khwisa Health Centre","Southern","Balaka"
"Khwisatest Health Centre","Khwisatest Health Centre","Southern","Balaka"
"Kwitanda Health Centre","Kwitanda Health Centre","Southern","Balaka"
"Mbera Health Centre","Mbera Health Centre","Southern","Balaka"
"Mberatest Health Centre","Mberatest Health Centre","Southern","Balaka"
"Mwima Health Centre","Mwima Health Centre","Southern","Balaka"
"Namanolo Health Centre","Namanolo Health Centre","Southern","Balaka"
"Namanolo Health Post","Namanolo Health Post","Southern","Balaka"
"Nandumbo Health Centre","Nandumbo Health Centre","Southern","Balaka"
"Opdtest District Hospital","Opdtest District Hospital","Southern","Balaka"
"Phalula Health Centre","Phalula Health Centre","Southern","Balaka"
